date,checkpoint_clock,rule_id,side,confidence,entry_price,target_50,target_100,required_break_direction
2026-06-01,09:45,S1239@30m,SHORT,0.4971,54251.8516,54201.8516,54151.8516,LOW
2026-06-02,09:33,S1019@18m,SHORT,0.5334,53232.1484,53182.1484,53132.1484,LOW
2026-06-03,09:18,S0235,SHORT,0.637,53245.0,53195.0,53145.0,LOW
2026-06-03,09:27,S0235@12m,SHORT,0.637,53205.1484,53155.1484,53105.1484,LOW
2026-06-03,09:30,S0235@15m,SHORT,0.637,53182.3516,53132.3516,53082.3516,LOW
2026-06-03,09:33,S0235@18m,SHORT,0.637,53197.1484,53147.1484,53097.1484,LOW
2026-06-03,09:36,S0235@21m,SHORT,0.637,53168.0508,53118.0508,53068.0508,LOW
2026-06-03,09:42,S0235@27m,SHORT,0.637,53194.25,53144.25,53094.25,LOW
2026-06-03,09:45,S0235@30m,SHORT,0.637,53169.3984,53119.3984,53069.3984,LOW
2026-06-04,09:21,S1019@6m,LONG,0.5334,53974.8008,54024.8008,54074.8008,HIGH
