date,checkpoint_clock,rule_id,side,confidence,entry_price,target_50,target_100,required_break_direction
2026-06-09,09:18,S0235,LONG,0.637,54487.0508,54537.0508,54587.0508,HIGH
2026-06-09,09:21,S0235@6m,LONG,0.637,54638.4492,54688.4492,54738.4492,HIGH
2026-06-09,09:24,S0235@9m,LONG,0.637,54658.1016,54708.1016,54758.1016,HIGH
2026-06-09,09:27,S0235@12m,LONG,0.637,54699.8516,54749.8516,54799.8516,HIGH
2026-06-09,09:30,S0235@15m,LONG,0.637,54696.75,54746.75,54796.75,HIGH
2026-06-09,09:33,S0235@18m,LONG,0.637,54713.1992,54763.1992,54813.1992,HIGH
2026-06-09,09:36,S0235@21m,LONG,0.637,54740.1016,54790.1016,54840.1016,HIGH
2026-06-09,09:39,S0235@24m,LONG,0.637,54721.8008,54771.8008,54821.8008,HIGH
2026-06-09,09:42,S0235@27m,LONG,0.637,54712.0508,54762.0508,54812.0508,HIGH
2026-06-09,09:45,S0235@30m,LONG,0.637,54714.0,54764.0,54814.0,HIGH
